Knife_ID,True_Class,True_Ra,Total_Test_Appearances,Correct_Predictions,Accuracy_Rate
knife_test_56,1,0.14,3,0,0.0
knife_test_560,1,0.17,3,0,0.0
knife_test_565,1,0.17,3,0,0.0
knife_test_566,1,0.17,3,0,0.0
knife_test_568,1,0.17,2,0,0.0
knife_test_569,1,0.17,1,0,0.0
knife_test_570,0,0.12,3,3,1.0
knife_test_573,0,0.12,2,2,1.0
knife_test_578,0,0.12,3,3,1.0
knife_test_58,1,0.14,2,2,1.0
knife_test_580,1,0.16,1,1,1.0
knife_test_582,1,0.16,2,2,1.0
knife_test_584,1,0.16,2,1,0.5
knife_test_592,1,0.19,1,0,0.0
knife_test_595,1,0.19,3,2,0.6666666666666666
knife_test_598,1,0.19,1,0,0.0
knife_test_601,0,0.12,2,0,0.0
knife_test_602,0,0.12,3,0,0.0
knife_test_604,0,0.12,2,0,0.0
knife_test_605,0,0.12,1,1,1.0
knife_test_617,0,0.11,3,3,1.0
knife_test_618,0,0.11,3,1,0.3333333333333333
knife_test_619,0,0.11,3,2,0.6666666666666666
knife_test_62,0,0.12,2,2,1.0
knife_test_620,0,0.11,1,0,0.0
knife_test_629,0,0.11,1,1,1.0
knife_test_631,1,0.13,1,0,0.0
knife_test_632,1,0.13,3,0,0.0
knife_test_639,1,0.13,1,0,0.0
knife_test_64,0,0.12,1,1,1.0
knife_test_641,0,0.12,3,1,0.3333333333333333
knife_test_643,0,0.12,2,1,0.5
knife_test_648,0,0.12,3,1,0.3333333333333333
knife_test_649,0,0.12,3,0,0.0
knife_test_657,0,0.1,1,1,1.0
knife_test_662,1,0.13,1,1,1.0
knife_test_663,1,0.13,3,3,1.0
knife_test_672,0,0.12,1,1,1.0
knife_test_68,0,0.12,2,2,1.0
knife_test_680,1,0.13,2,0,0.0
knife_test_681,1,0.13,2,0,0.0
knife_test_683,1,0.13,3,0,0.0
knife_test_684,1,0.13,2,0,0.0
knife_test_685,1,0.13,2,0,0.0
knife_test_695,0,0.12,3,3,1.0
knife_test_699,0,0.12,1,0,0.0
knife_test_7,1,0.16,1,1,1.0
knife_test_700,0,0.1,1,1,1.0
knife_test_701,0,0.1,2,2,1.0
knife_test_702,0,0.1,3,3,1.0
knife_test_703,0,0.1,2,2,1.0
knife_test_706,0,0.1,3,3,1.0
knife_test_707,0,0.1,3,3,1.0
knife_test_708,0,0.1,3,3,1.0
knife_test_711,0,0.09,1,1,1.0
knife_test_713,0,0.09,1,0,0.0
knife_test_718,0,0.09,2,1,0.5
knife_test_720,0,0.1,2,2,1.0
knife_test_723,0,0.1,1,1,1.0
knife_test_724,0,0.1,1,1,1.0
knife_test_725,0,0.1,3,3,1.0
knife_test_73,1,0.17,2,0,0.0
knife_test_731,0,0.1,3,3,1.0
knife_test_732,0,0.1,2,2,1.0
knife_test_736,0,0.1,1,1,1.0
knife_test_737,0,0.1,3,3,1.0
knife_test_738,0,0.1,1,1,1.0
knife_test_746,0,0.1,3,3,1.0
knife_test_747,0,0.1,1,1,1.0
knife_test_758,0,0.1,3,3,1.0
knife_test_761,1,0.14,1,0,0.0
knife_test_762,1,0.14,3,0,0.0
knife_test_763,1,0.14,3,0,0.0
knife_test_766,1,0.14,1,0,0.0
knife_test_767,1,0.14,2,1,0.5
knife_test_768,1,0.14,1,1,1.0
knife_test_769,1,0.14,2,1,0.5
knife_test_773,1,0.14,1,0,0.0
knife_test_777,1,0.14,3,0,0.0
knife_test_779,1,0.14,3,0,0.0
knife_test_781,1,0.13,3,0,0.0
knife_test_785,1,0.13,2,0,0.0
knife_test_788,1,0.13,2,0,0.0
knife_test_798,0,0.12,1,0,0.0
knife_test_799,0,0.12,1,1,1.0
knife_test_801,0,0.12,2,1,0.5
knife_test_807,0,0.12,1,0,0.0
knife_test_811,1,0.13,2,0,0.0
knife_test_812,1,0.13,3,0,0.0
knife_test_814,1,0.13,1,0,0.0
knife_test_815,1,0.13,3,0,0.0
knife_test_817,1,0.13,1,1,1.0
knife_test_818,1,0.13,2,0,0.0
knife_test_82,1,0.14,3,0,0.0
knife_test_821,0,0.11,3,3,1.0
knife_test_822,0,0.11,3,3,1.0
knife_test_830,1,0.14,3,1,0.3333333333333333
knife_test_832,1,0.14,3,2,0.6666666666666666
knife_test_839,1,0.14,2,0,0.0
knife_test_841,0,0.11,3,3,1.0
knife_test_844,0,0.11,1,1,1.0
knife_test_845,0,0.11,3,0,0.0
knife_test_850,0,0.09,1,1,1.0
knife_test_852,0,0.09,2,2,1.0
knife_test_855,0,0.09,3,2,0.6666666666666666
knife_test_860,0,0.1,1,1,1.0
knife_test_861,0,0.1,2,2,1.0
knife_test_864,0,0.1,2,2,1.0
knife_test_866,0,0.1,3,3,1.0
knife_test_867,0,0.1,1,1,1.0
knife_test_868,0,0.1,2,2,1.0
knife_test_875,0,0.09,2,2,1.0
knife_test_876,0,0.09,3,3,1.0
knife_test_88,1,0.14,3,3,1.0
knife_test_882,0,0.09,3,3,1.0
knife_test_884,0,0.09,2,2,1.0
knife_test_886,0,0.09,3,3,1.0
knife_test_891,0,0.09,2,2,1.0
knife_test_9,1,0.16,1,1,1.0
knife_test_901,0,0.1,3,3,1.0
knife_test_904,0,0.1,2,2,1.0
knife_test_907,0,0.1,1,1,1.0
knife_test_916,0,0.08,3,3,1.0
knife_test_918,0,0.08,3,3,1.0
knife_test_919,0,0.08,2,2,1.0
knife_test_924,1,0.16,3,3,1.0
knife_test_926,1,0.16,2,2,1.0
knife_test_933,1,0.14,2,1,0.5
knife_test_937,1,0.14,3,1,0.3333333333333333
knife_test_94,1,0.18,1,1,1.0
knife_test_940,0,0.1,3,2,0.6666666666666666
knife_test_947,0,0.1,2,2,1.0
knife_test_949,0,0.1,3,3,1.0
knife_test_95,1,0.18,3,2,0.6666666666666666
knife_test_950,0,0.09,3,0,0.0
knife_test_951,0,0.09,3,3,1.0
knife_test_952,0,0.09,3,2,0.6666666666666666
knife_test_953,0,0.09,1,1,1.0
knife_test_954,0,0.09,3,2,0.6666666666666666
knife_test_956,0,0.09,2,2,1.0
knife_test_962,0,0.12,2,2,1.0
knife_test_967,0,0.12,1,1,1.0
knife_test_968,0,0.12,2,1,0.5
knife_test_98,1,0.18,1,1,1.0
knife_test_983,0,0.11,3,3,1.0
knife_test_985,0,0.11,3,3,1.0
knife_test_990,0,0.12,1,1,1.0
knife_test_992,0,0.12,3,3,1.0
knife_test_996,0,0.12,3,2,0.6666666666666666
knife_test_998,0,0.12,2,1,0.5
knife_train_Koch-A0-T0-05_cropped_Messpunkt,1,0.16,20,1,0.05
knife_train_Koch-A0-T0-10_cropped_Messpunkt,1,0.14,20,18,0.9
knife_train_Koch-A0-T0-14_cropped_Messpunkt,1,0.15,20,9,0.45
knife_train_Koch-A0-T0-15_cropped_Messpunkt,1,0.16,20,11,0.55
knife_train_Koch-A0-T0-19_cropped_Messpunkt,1,0.16,20,4,0.2
knife_train_Koch-A0-T0-20_cropped_Messpunkt,1,0.13,20,0,0.0
knife_train_Koch-A1-T1-02_cropped_Messpunkt,1,0.14,20,12,0.6
knife_train_Koch-A1-T1-06_cropped_Messpunkt,1,0.16,30,22,0.7333333333333333
knife_train_Koch-A1-T1-07_cropped_Messpunkt,1,0.15,30,15,0.5
knife_train_Koch-A1-T1-13_cropped_Messpunkt,1,0.13,20,7,0.35
